   0000  0111  0444  0888  0fff  0fff  0888  0000
   0111  0111  0444  0888  0fff  0fff  0888  0000
   0444  0444  0888  0fff  0fff  0888  0444  0000
   0888  0888  0fff  0fff  0888  0444  0222  0000
   0fff  0fff  0fff  0888  0444  0222  0111  0000
   0fff  0fff  0888  0444  0222  0111  0000  0000
   0888  0888  0444  0222  0111  0000  0000  0000
   0000  0000  0000  0000  0000  0000  0000  0000

   0000  1111  4444  8888  ffff  ffff  8888  0000
   1111  1111  4444  8888  ffff  ffff  8888  0000
   4444  4444  8888  ffff  ffff  8888  4444  0000
   8888  8888  ffff  ffff  8888  4444  2222  0000
   ffff  ffff  ffff  8888  4444  2222  1111  0000
   ffff  ffff  8888  4444  2222  1111  0000  0000
   8888  8888  4444  2222  1111  0000  0000  0000
   0000  0000  0000  0000  0000  0000  0000  0000
