// DTT output range: -564.633057 ... 419.190855
 3465e7 1f8b0f2   47ed1 1fcd8ce   2732d   1826d 1fcf34a   3cefe 
   3e8a   306bf 1f9502f   61346 1fcbe50 1ff71ef   465dd 1f8f694 
1fee885   175f3 1fe04e8   26a4c 1fe4188 1ff11f1   1b2c8 1fc5664 
  12b68 1f8f488   8d39e 1f7d3f8   54fcf 1ffed54 1fc3022   63284 
1feb20a 1fec8c3 1ff792f      14    d1b4 1feb6e1   1ef78 1fd81c1 
1fd6406   4c4ca 1f7e9e4   64202 1fc449b 1ff05cf   4afe7 1f9801d 
   e388 1fcbc71   4cd5f 1fd3a06   18f33      ed 1fda860   5b9f4 
  1c5c4 1fc0f5e   5c2bc 1fa6919   21652   2afc2 1f8ad86  3158d2 

1d827a5   2dc52 1fc30d8   34440 1fed149 1fe97c1   2b256 1fc5e67 
1fff20f 1fe018d   2fa72 1fd43ae 1ffa6da 1ff6eda 1ff8688    3ce8 
  357cb 1f46aa6   f4907 1f29a52   826bb    5d30 1f8022f   c0427 
  1727d 1fa049a   70262 1f925c1   47edc    d307 1fccdeb   5da2a 
1fe8d5d   3feb7 1faa9a1   49d3c 1fd20de 1ff15fb   2bb6d 1fc5644 
  130c4 1fea324   2a8ee 1fe5e9c   1922e    7f3d 1ff838a   2a890 
  1cb76 1fe41b9   33a77 1fd4e16   12705    50c0 1fdc2b7 1ff18bb 
1fdd194   7c08d 1f53c3a   8e37f 1fc33f0 1fd5f0b   ad966 1b96c05 

1b96c05   ad966 1fd5f0b 1fc33f0   8e37f 1f53c3a   7c08d 1fdd194 
1ff18bb 1fdc2b7    50c0   12705 1fd4e16   33a77 1fe41b9   1cb76 
  2a890 1ff838a    7f3d   1922e 1fe5e9c   2a8ee 1fea324   130c4 
1fc5644   2bb6d 1ff15fb 1fd20de   49d3c 1faa9a1   3feb7 1fe8d5d 
  5da2a 1fccdeb    d307   47edc 1f925c1   70262 1fa049a   1727d 
  c0427 1f8022f    5d30   826bb 1f29a52   f4907 1f46aa6   357cb 
   3ce8 1ff8688 1ff6eda 1ffa6da 1fd43ae   2fa72 1fe018d 1fff20f 
1fc5e67   2b256 1fe97c1 1fed149   34440 1fc30d8   2dc52 1d827a5 

 3158d2 1f8ad86   2afc2   21652 1fa6919   5c2bc 1fc0f5e   1c5c4 
  5b9f4 1fda860      ed   18f33 1fd3a06   4cd5f 1fcbc71    e388 
1f9801d   4afe7 1ff05cf 1fc449b   64202 1f7e9e4   4c4ca 1fd6406 
1fd81c1   1ef78 1feb6e1    d1b4      14 1ff792f 1fec8c3 1feb20a 
  63284 1fc3022 1ffed54   54fcf 1f7d3f8   8d39e 1f8f488   12b68 
1fc5664   1b2c8 1ff11f1 1fe4188   26a4c 1fe04e8   175f3 1fee885 
1f8f694   465dd 1ff71ef 1fcbe50   61346 1f9502f   306bf    3e8a 
  3cefe 1fcf34a   1826d   2732d 1fcd8ce   47ed1 1f8b0f2  3465e7 
