// DTT output range: -519.848403 ... 435.944781
 2fdb32 1f96c76   41f7b 1fd1d20   25968   17707 1fd13bf   39ab2 
    aef   35cdc 1f90cd8   64015 1fc8fc7 1ff671d   496e5 1f8db1f 
1ff0048   17411 1fde8a3   28995 1fe243d 1ff0ffb   1b278 1fc6a55 
  16494 1f8bf94   91ca7 1f78ccd   56461     4ff 1fbee5f   67063 
1fec502 1feb63e 1ffcad3 1ffcbcb    f4b3 1fed608   1b558 1fdb2ad 
1fd6c82   4cc4a 1f80766   61ce3 1fc411b 1ff2b65   46317 1f9fb95 
   fe16 1fc7487   525eb 1fd0097   1bf26 1ffe669 1fd94c4   652ab 
  1dc63 1fbe069   5e7b9 1fa25b2   24256   2e0ab 1f85d38  367e05 

1d37f3a   3525f 1fbc475   3a37f 1fed058 1fe88b9   2d7e7 1fc1969 
1ff898c 1fec4af   254b8 1fdca5f 1ff50d5 1ff76c9 1ffd634 1ffb268 
  31a82 1f4f25d   eb167 1f326b3   7e8b8    4961 1f852c7   bad8d 
  16243 1fa595a   66487 1f9a879   429d6    cc82 1fd2282   575cd 
1fe8160   44571 1fa3ab3   500aa 1fcda6d 1fefb1e   2f516 1fbc435 
  12b8e 1fe9db8   2c709 1fe444d   1a702    a55b 1ff6a76   2b2e4 
  1d4ec 1fe0aad   3a1c3 1fcfdfd   12bf2    6521 1fd3f0f 1fff682 
1fde911   74fb2 1f5bacf   870c8 1fc78ad 1fd7fdc   a5b07 1bf051b 

1bf051b   a5b07 1fd7fdc 1fc78ad   870c8 1f5bacf   74fb2 1fde911 
1fff682 1fd3f0f    6521   12bf2 1fcfdfd   3a1c3 1fe0aad   1d4ec 
  2b2e4 1ff6a76    a55b   1a702 1fe444d   2c709 1fe9db8   12b8e 
1fbc435   2f516 1fefb1e 1fcda6d   500aa 1fa3ab3   44571 1fe8160 
  575cd 1fd2282    cc82   429d6 1f9a879   66487 1fa595a   16243 
  bad8d 1f852c7    4961   7e8b8 1f326b3   eb167 1f4f25d   31a82 
1ffb268 1ffd634 1ff76c9 1ff50d5 1fdca5f   254b8 1fec4af 1ff898c 
1fc1969   2d7e7 1fe88b9 1fed058   3a37f 1fbc475   3525f 1d37f3a 

 367e05 1f85d38   2e0ab   24256 1fa25b2   5e7b9 1fbe069   1dc63 
  652ab 1fd94c4 1ffe669   1bf26 1fd0097   525eb 1fc7487    fe16 
1f9fb95   46317 1ff2b65 1fc411b   61ce3 1f80766   4cc4a 1fd6c82 
1fdb2ad   1b558 1fed608    f4b3 1ffcbcb 1ffcad3 1feb63e 1fec502 
  67063 1fbee5f     4ff   56461 1f78ccd   91ca7 1f8bf94   16494 
1fc6a55   1b278 1ff0ffb 1fe243d   28995 1fde8a3   17411 1ff0048 
1f8db1f   496e5 1ff671d 1fc8fc7   64015 1f90cd8   35cdc     aef 
  39ab2 1fd13bf   17707   25968 1fd1d20   41f7b 1f96c76  2fdb32 
