//Absolute values, shoud be the same for each of 4 modes
131f1  fb14  fb14  ce0e 15d0c  ba92 11e74  991d 17abc  72e3 136d2  5e49 189df  26cb 1433e  1fd6 
 26cb 189df  1fd6 1433e  72e3 17abc  5e49 136d2  ba92 15d0c  991d 11e74  fb14 131f1  ce0e  fb14 
15d0c 11e74  ba92  991d 18e39  d4db  d4db  71c6 1b019  8313  e6f6  4610 1c15e  2c42  f031  17a8 
 2c42 1c15e  17a8  f031  8313 1b019  4610  e6f6  d4db 18e39  71c6  d4db 11e74 15d0c  991d  ba92 
17abc 136d2  72e3  5e49 1b019  e6f6  8313  4610 1d4da  8e3a  8e3a  2b25 1e797  3006  93e9   e91 
 3006 1e797   e91  93e9  8e3a 1d4da  2b25  8e3a  e6f6 1b019  4610  8313 136d2 17abc  5e49  72e3 
189df 1433e  26cb  1fd6 1c15e  f031  2c42  17a8 1e797  93e9  3006   e91 1fb14  31f1  31f1   4eb 
 31f1 1fb14   4eb  31f1  93e9 1e797   e91  3006  f031 1c15e  17a8  2c42 1433e 189df  1fd6  26cb 
 26cb  1fd6 189df 1433e  2c42  17a8 1c15e  f031  3006   e91 1e797  93e9  31f1   4eb 1fb14  31f1 
  4eb  31f1  31f1 1fb14   e91  3006  93e9 1e797  17a8  2c42  f031 1c15e  1fd6  26cb 1433e 189df 
 72e3  5e49 17abc 136d2  8313  4610 1b019  e6f6  8e3a  2b25 1d4da  8e3a  93e9   e91 1e797  3006 
  e91  93e9  3006 1e797  2b25  8e3a  8e3a 1d4da  4610  8313  e6f6 1b019  5e49  72e3 136d2 17abc 
 ba92  991d 15d0c 11e74  d4db  71c6 18e39  d4db  e6f6  4610 1b019  8313  f031  17a8 1c15e  2c42 
 17a8  f031  2c42 1c15e  4610  e6f6  8313 1b019  71c6  d4db  d4db 18e39  991d  ba92 11e74 15d0c 
 fb14  ce0e 131f1  fb14 11e74  991d 15d0c  ba92 136d2  5e49 17abc  72e3 1433e  1fd6 189df  26cb 
 1fd6 1433e  26cb 189df  5e49 136d2  72e3 17abc  991d 11e74  ba92 15d0c  ce0e  fb14  fb14 131f1 
