001 // shift x - +1/128 pix
07f // shift y - -1/128 pix
00f // bayer
253 165 0ee 067 238 3cb 2c1 096 1af 25b 137 3c2 183 3d6 2e0 179
2e0 179 08e 284 0ea 09a 1a3 3fc 357 1d7 165 355 275 204 147 370
147 370 03f 2ad 2ba 050 314 1f6 283 109 1af 0d4 2e0 20a 167 27e
167 27e 056 3e4 29c 20f 1a8 2c8 265 256 2e8 1c5 236 18b 253 165 
292 1dc 227 22f 084 1fc 0f2 3b6 333 122 2e5 0ab 0ed 32d 020 3eb
020 3eb 005 292 166 13a 187 305 220 1d1 07a 10b 077 292 3e2 2d4
3e2 2d4 145 30f 336 1ef 0fa 3f8 160 1c7 37a 367 34a 05f 3ac 3e3
3ac 3e3 23a 2ac 0e9 33d 1e0 2d4 026 367 0b9 146 0d9 238 292 1dc 
1d7 2aa 2b6 3df 160 1a4 345 0da 375 15a 34b 055 35b 39e 398 31f
398 31f 33e 341 043 1e1 3e1 314 09e 252 302 14c 01e 259 059 20b
059 20b 119 0ef 184 343 04b 023 28b 141 015 071 39a 12b 011 24d
011 24d 099 3eb 017 0ef 317 04a 06e 08c 358 347 141 1ba 1d7 2aa 
1fa 374 313 03b 3f0 309 3da 0ce 27d 395 29d 052 189 2a8 1bd 2e5
1bd 2e5 2da 2e3 203 2b5 328 3f1 1eb 2c1 0bb 316 1e4 39b 0d7 3c3
0d7 3c3 343 1e5 044 216 294 0fa 0eb 373 184 018 0c8 134 13a 306
13a 306 0a1 047 1a7 052 0b3 02a 2b3 011 1cd 0db 1a8 11a 1fa 374 
